nome,patrimonio,salario
Classe B2 #57,155585.26,7460.95
Classe B2 #58,106706.91,7805.56
Classe B2 #59,170128.37,6172.91
Classe B2 #60,116563.24,2349.43
Classe B2 #61,136858.27,10395.74
Classe B2 #62,211090.62,6641.32
Classe B2 #63,132484.58,2830.87
Classe B2 #64,115291.96,7168.96
Classe B2 #65,142943.10,8473.06
Classe B2 #66,184666.09,5884.95
Classe B2 #67,236200.60,9842.77
Classe B2 #68,133686.19,9838.61
Classe B2 #69,120401.07,6520.53
Classe B2 #70,161018.71,4568.19
Classe B2 #71,145098.99,7308.26
Classe B2 #72,40076.03,9773.22
Classe B2 #73,106617.52,6176.54
Classe B2 #74,117194.22,7690.95
Classe B2 #75,60734.37,6359.31
Classe B2 #76,131335.83,7657.01
Classe B2 #77,170749.31,8664.31
Classe B2 #78,177158.26,10419.68
Classe B2 #79,66508.28,7378.11
Classe B2 #80,215230.41,9370.98
Classe B2 #81,131640.03,8961.86
Classe B2 #82,150135.07,7886.84
Classe B2 #83,223706.65,7428.46
Classe B2 #84,78029.98,8130.03
Classe B2 #85,126444.22,8052.89
Classe B2 #86,187651.06,7041.35
Classe B2 #87,166567.61,8647.94
Classe B2 #88,206424.31,3911.94
Classe B2 #89,155813.24,6561.21
Classe B2 #90,125878.56,8851.28
Classe B2 #91,202956.60,5983.32
Classe B2 #92,147009.95,8297.27
Classe B2 #93,168142.72,9964.66
Classe B2 #94,96454.17,9755.70
Classe B2 #95,143314.37,8825.04
Classe B2 #96,192318.95,9175.12
Classe B2 #97,96288.73,5176.65
Classe B2 #98,121683.43,3946.18
Classe B2 #99,116587.23,5692.17
Classe B2 #100,201663.53,5750.47
Classe C1 #1,54847.49,3821.06
Classe C1 #2,63178.78,4238.57
Classe C1 #3,48096.31,6240.99
Classe C1 #4,32418.12,4328.24
Classe C1 #5,20519.07,4951.24
Classe C1 #6,42901.52,2076.07
Classe C1 #7,46733.09,4313.15
Classe C1 #8,47075.08,3708.95
Classe C1 #9,46768.06,3463.97
Classe C1 #10,36854.28,5809.12
Classe C1 #11,30357.77,3863.38
Classe C1 #12,32047.62,2833.97
Classe C1 #13,44318.01,4190.09
Classe C1 #14,35898.10,5464.67
Classe C1 #15,51267.38,3729.58
Classe C1 #16,29374.52,5111.58
Classe C1 #17,45579.08,3891.10
Classe C1 #18,30280.85,4344.34
Classe C1 #19,34515.30,5932.92
Classe C1 #20,43472.08,5227.50
Classe C1 #21,43719.63,4032.24
Classe C1 #22,37244.06,3903.80
Classe C1 #23,25304.26,3628.67
Classe C1 #24,44156.01,4613.46
Classe C1 #25,48072.41,4915.91
Classe C1 #26,39421.51,4679.78
Classe C1 #27,62684.65,3531.68
Classe C1 #28,59312.05,5039.67
Classe C1 #29,37646.96,4502.28
Classe C1 #30,30990.06,2490.46
Classe C1 #31,31111.20,4600.32
Classe C1 #32,34764.88,3518.10
Classe C1 #33,35412.56,3545.60
Classe C1 #34,30247.85,3305.40
Classe C1 #35,58903.88,3902.50
Classe C1 #36,49451.04,3432.91
Classe C1 #37,16798.74,3797.54
Classe C1 #38,29419.28,3850.44
Classe C1 #39,31591.57,3562.25
Classe C1 #40,31535.56,4278.43
Classe C1 #41,43678.51,5061.06
Classe C1 #42,44490.70,1953.07
Classe C1 #43,16760.68,3778.63
Classe C1 #44,40842.39,4050.25
Classe C1 #45,33661.69,3395.55
Classe C1 #46,29533.74,6169.15
Classe C1 #47,29556.58,4207.34
Classe C1 #48,27056.45,5287.22
Classe C1 #49,52633.10,4136.71
Classe C1 #50,58310.23,3185.57
Classe C1 #51,53904.64,5902.88
Classe C1 #52,37294.86,5411.61
Classe C1 #53,42315.56,3945.38
Classe C1 #54,41678.20,2551.64
Classe C1 #55,57062.14,3327.99
Classe C1 #56,54557.77,4317.77
Classe C1 #57,41282.19,3791.30
Classe C1 #58,42233.85,2606.88
Classe C1 #59,49841.68,4507.40
Classe C1 #60,43270.67,5931.75
Classe C1 #61,32984.72,3495.17
Classe C1 #62,32603.51,4264.87
Classe C1 #63,25818.28,3354.88
Classe C1 #64,31604.95,3806.73
Classe C1 #65,31799.30,4536.39
Classe C1 #66,44683.49,3978.18
Classe C1 #67,61007.54,3995.45
Classe C1 #68,48336.21,5297.22
Classe C1 #69,36777.69,4098.63
Classe C1 #70,38502.40,4006.40
Classe C1 #71,61752.82,3679.59
Classe C1 #72,20062.44,4521.26
Classe C1 #73,20122.47,4359.70
Classe C1 #74,37259.20,4404.00
Classe C1 #75,36325.62,4385.92
Classe C1 #76,19280.46,4613.75
Classe C1 #77,33894.16,3693.64
Classe C1 #78,50334.52,5039.70
Classe C1 #79,54358.27,4248.99
Classe C1 #80,29642.27,5004.55
Classe C1 #81,48771.52,3102.27
Classe C1 #82,43452.01,1978.63
Classe C1 #83,45264.00,3045.68
Classe C1 #84,32512.53,5053.15
Classe C1 #85,58699.59,3212.03
Classe C1 #86,19414.52,3433.99
Classe C1 #87,32307.19,2885.90
Classe C1 #88,44780.51,3807.64
Classe C1 #89,39753.16,3429.79
Classe C1 #90,45604.13,2036.12
Classe C1 #91,28324.52,3626.78
Classe C1 #92,43152.76,4001.65
Classe C1 #93,34617.09,4637.07
Classe C1 #94,46764.13,3280.15
Classe C1 #95,23826.54,5011.10
Classe C1 #96,48231.95,3816.29
Classe C1 #97,56460.73,4356.34
Classe C1 #98,37892.81,4217.44
Classe C1 #99,47503.32,2851.78
Classe C1 #100,40539.72,3887.65
Classe C1 #101,36595.96,4905.96
Classe C1 #102,36826.21,3659.63
Classe C1 #103,54171.12,4450.19
Classe C1 #104,65684.02,4829.03
Classe C1 #105,17860.65,3798.48
Classe C1 #106,41506.97,4559.05
Classe C1 #107,58017.53,4515.90
Classe C1 #108,57025.13,3574.88
Classe C1 #109,35680.03,3742.49
Classe C1 #110,14610.01,3689.78
Classe C1 #111,48383.19,3594.07
Classe C1 #112,46242.89,4672.47
Classe C1 #113,51877.39,2045.73
Classe C1 #114,44243.84,3166.34
Classe C1 #115,38808.80,4361.18
Classe C1 #116,53399.93,4199.88
Classe C1 #117,33974.27,4781.39
Classe C1 #118,41900.23,3721.91
Classe C1 #119,47455.45,4512.70
Classe C1 #120,49575.47,5075.61
Classe C1 #121,46488.20,3185.75
Classe C1 #122,48442.57,3910.14
Classe C1 #123,59843.30,4703.98
Classe C1 #124,54053.24,3038.03
Classe C1 #125,23304.17,3118.95
Classe C1 #126,47232.63,3542.43
Classe C1 #127,44298.35,4332.63
Classe C1 #128,65448.07,3770.34
Classe C1 #129,31690.27,2619.07
Classe C1 #130,37279.00,4017.94
Classe C1 #131,28105.14,3980.12
Classe C1 #132,25481.60,3812.26
Classe C1 #133,49420.19,4711.69
Classe C1 #134,48486.82,2805.75
Classe C1 #135,29740.93,4340.02
Classe C1 #136,43932.28,4813.09
Classe C1 #137,46105.64,4258.70
Classe C1 #138,47158.84,4360.01
Classe C1 #139,24350.89,3746.75
Classe C1 #140,40682.07,4956.28
Classe C1 #141,51765.16,3124.42
Classe C1 #142,34879.99,3380.12
Classe C1 #143,47286.28,3601.68
Classe C1 #144,44547.14,4703.73
Classe C1 #145,46491.71,4182.60
Classe C1 #146,53663.24,4561.91
Classe C1 #147,42976.91,2564.77
Classe C1 #148,54853.03,3464.80
Classe C1 #149,47747.44,4531.08
Classe C1 #150,34773.24,3317.51
Classe C2 #1,12058.47,2382.72
Classe C2 #2,10267.87,3085.56
Classe C2 #3,9510.67,1838.81
Classe C2 #4,11763.72,1550.00
Classe C2 #5,17929.15,1958.71
Classe C2 #6,11733.52,2054.55
Classe C2 #7,13158.33,3268.61
Classe C2 #8,6450.66,2049.23
Classe C2 #9,9235.32,2298.59
Classe C2 #10,5778.57,2987.11
Classe C2 #11,10492.99,2227.36
Classe C2 #12,9043.74,1550.00
Classe C2 #13,10436.47,1951.20
Classe C2 #14,15832.63,3115.91
Classe C2 #15,10832.99,2738.77
Classe C2 #16,7565.79,2397.84
Classe C2 #17,6450.42,1550.00
Classe C2 #18,8942.07,3053.36
Classe C2 #19,14433.73,3150.10
Classe C2 #20,7400.49,2680.04
Classe C2 #21,12343.44,2537.42
Classe C2 #22,12441.13,2963.98
Classe C2 #23,8449.21,2782.92
Classe C2 #24,5305.52,2370.32
Classe C2 #25,9092.39,1824.47
Classe C2 #26,10440.75,2852.34
Classe C2 #27,6224.12,2197.95
Classe C2 #28,13624.44,2539.35
Classe C2 #29,9675.07,2948.59
Classe C2 #30,12093.75,2675.39
Classe C2 #31,11436.77,2034.67
Classe C2 #32,12896.85,2492.84
Classe C2 #33,10123.10,3328.44
Classe C2 #34,6122.52,2464.96
Classe C2 #35,11246.18,1939.25
Classe C2 #36,14045.83,2757.37
Classe C2 #37,9121.68,3146.54
Classe C2 #38,5039.59,3567.67
Classe C2 #39,10561.30,1988.89
Classe C2 #40,8607.49,2579.31
Classe C2 #41,8881.35,2919.83
Classe C2 #42,15829.05,2488.27
Classe C2 #43,12709.70,2384.50
Classe C2 #44,14100.09,1966.03
Classe C2 #45,7694.86,2609.49
Classe C2 #46,7831.49,1814.76
Classe C2 #47,7734.88,2758.40
Classe C2 #48,11285.73,2345.69
Classe C2 #49,7146.84,1947.63
Classe C2 #50,13411.95,1959.95
Classe C2 #51,13548.67,2201.19
Classe C2 #52,6050.03,3039.84
Classe C2 #53,3137.56,3575.67
Classe C2 #54,8718.83,3271.08
Classe C2 #55,6688.99,2504.20
Classe C2 #56,11392.06,1690.35
Classe C2 #57,12895.09,2851.23
Classe C2 #58,10936.28,2002.44
Classe C2 #59,11277.98,2898.08
Classe C2 #60,10329.68,2871.89
Classe C2 #61,17187.54,3388.14
Classe C2 #62,8171.72,2282.74
Classe C2 #63,8350.31,1550.00
Classe C2 #64,8742.08,2093.62
Classe C2 #65,3763.17,2942.93
Classe C2 #66,14040.81,2453.41
Classe C2 #67,7068.39,2793.48
Classe C2 #68,8596.77,3245.22
Classe C2 #69,11060.06,2115.05
Classe C2 #70,11356.53,1844.33
Classe C2 #71,12615.81,2286.27
Classe C2 #72,11126.42,2329.49
Classe C2 #73,11348.29,2488.16
Classe C2 #74,7831.05,2849.14
Classe C2 #75,11565.63,2191.31
Classe C2 #76,11193.35,3043.49
Classe C2 #77,12942.46,2762.43
Classe C2 #78,14839.65,2182.03
Classe C2 #79,14862.91,2518.47
Classe C2 #80,6069.84,2687.68
Classe C2 #81,8620.55,3148.71
Classe C2 #82,7511.44,2166.58
Classe C2 #83,12484.23,3105.01
Classe C2 #84,6400.51,2076.82
Classe C2 #85,13159.74,2228.63
Classe C2 #86,10543.49,1827.21
Classe C2 #87,7806.74,3290.01
Classe C2 #88,8599.88,2800.33
Classe C2 #89,9799.47,3065.32
Classe C2 #90,9221.41,3012.64
Classe C2 #91,10732.66,1550.00
Classe C2 #92,14423.00,2129.43
Classe C2 #93,8019.51,2126.20
Classe C2 #94,9617.59,2124.38
Classe C2 #95,8720.21,2372.77
Classe C2 #96,14716.86,3141.99
Classe C2 #97,12587.47,2789.40
Classe C2 #98,12147.42,2960.68
Classe C2 #99,6055.15,2383.36
Classe C2 #100,10242.36,2109.33
Classe C2 #101,16290.99,3256.00
Classe C2 #102,6110.33,2350.98
Classe C2 #103,9949.53,2604.97
Classe C2 #104,7754.13,1991.86
Classe C2 #105,9556.12,2337.26
Classe C2 #106,6203.66,1764.73
Classe C2 #107,7679.87,2170.02
Classe C2 #108,14241.04,3162.17
Classe C2 #109,8246.07,2668.91
Classe C2 #110,11845.68,1805.08
Classe C2 #111,10347.02,1964.22
Classe C2 #112,11759.03,2835.38
Classe C2 #113,7804.46,3573.14
Classe C2 #114,9624.23,3083.46
Classe C2 #115,6590.33,2439.90
Classe C2 #116,6985.05,2127.50
Classe C2 #117,12007.81,2088.36
Classe C2 #118,8867.90,2329.26
Classe C2 #119,7111.24,2366.75
Classe C2 #120,8322.60,2812.76
Classe C2 #121,10304.23,2672.88
Classe C2 #122,6428.35,3009.86
Classe C2 #123,12891.16,2472.21
Classe C2 #124,11112.98,2859.43
Classe C2 #125,6054.83,1550.00
Classe C2 #126,6306.57,1550.00
Classe C2 #127,8160.10,1776.65
Classe C2 #128,12718.69,3446.84
Classe C2 #129,11408.22,2259.27
Classe C2 #130,12825.34,3388.46
Classe C2 #131,8711.74,2694.88
Classe C2 #132,12263.00,2891.53
Classe C2 #133,7883.39,2522.34
Classe C2 #134,7227.17,2294.54
Classe C2 #135,6330.76,2388.12
Classe C2 #136,12833.54,2730.00
Classe C2 #137,8592.94,2342.59
Classe C2 #138,10897.46,2863.92
Classe C2 #139,15035.72,2959.64
Classe C2 #140,6599.86,2269.23
Classe C2 #141,10630.27,2270.63
Classe C2 #142,7957.74,3204.98
Classe C2 #143,13683.60,2093.92
Classe C2 #144,9332.73,1906.13
Classe C2 #145,14197.39,3250.33
Classe C2 #146,6087.72,2439.33
Classe C2 #147,13072.54,2764.30
Classe C2 #148,10054.03,2950.03
Classe C2 #149,10424.33,2219.52
Classe C2 #150,9212.18,3441.57
Classe D #1,6192.77,2052.13
Classe D #2,4830.80,1550.00
Classe D #3,5284.17,1550.00
Classe D #4,5977.03,1579.82
Classe D #5,5238.91,2245.09
Classe D #6,5925.32,1559.00
Classe D #7,6920.16,1690.23
Classe D #8,4354.39,2513.36
Classe D #9,6645.34,2021.53
Classe D #10,5399.59,1984.83
Classe D #11,5822.36,1898.09
Classe D #12,5118.69,2017.18
Classe D #13,4471.97,1774.65
Classe D #14,3131.01,1550.00
Classe D #15,5183.48,1848.46
Classe D #16,7487.61,1567.74
Classe D #17,3701.93,2758.30
Classe D #18,4458.41,1550.00
Classe D #19,3888.73,2130.27
Classe D #20,5680.73,2120.30
Classe D #21,5068.39,1781.87
Classe D #22,4169.08,1999.61
Classe D #23,6480.78,1550.00
Classe D #24,3706.83,2337.50
Classe D #25,3939.26,1970.63
Classe D #26,3855.74,1670.60
Classe D #27,6130.68,1940.11
Classe D #28,3467.69,2219.25
Classe D #29,2739.06,2057.80
Classe D #30,5181.49,1675.19
Classe D #31,4843.24,1648.96
Classe D #32,1761.16,1550.00
Classe D #33,5872.61,1905.85
Classe D #34,6081.16,1972.44
Classe D #35,5769.88,1814.37
Classe D #36,5435.73,1550.00
Classe D #37,2592.54,1550.00
Classe D #38,4205.05,1582.98
Classe D #39,5400.43,1550.00
Classe D #40,4206.74,1806.63
Classe D #41,4693.61,1550.00
Classe D #42,3056.67,1615.65
Classe D #43,4154.62,1643.00
Classe D #44,2968.30,1550.00
Classe D #45,6241.38,1728.27
Classe D #46,7705.17,2615.10
Classe D #47,5840.64,2269.95
Classe D #48,7830.09,2347.88
Classe D #49,3222.87,1961.60
Classe D #50,4605.68,1550.00
Classe D #51,3242.91,2195.73
Classe D #52,3548.28,1559.64
Classe D #53,4379.54,2260.38
Classe D #54,5834.63,2451.30
Classe D #55,2963.89,1794.52
Classe D #56,5741.67,2018.93
Classe D #57,6111.68,1550.00
Classe D #58,6129.54,1759.14
Classe D #59,5180.64,2405.67
Classe D #60,5376.71,1721.27
Classe D #61,4625.84,2783.79
Classe D #62,3992.14,1967.60
Classe D #63,3163.29,1776.54
Classe D #64,5115.88,1817.89
Classe D #65,2059.10,2443.06
Classe D #66,3345.05,2052.43
Classe D #67,5464.11,1550.00
Classe D #68,6242.36,1550.00
Classe D #69,2945.94,1550.00
Classe D #70,6019.66,1550.00
Classe D #71,4420.54,1667.59
Classe D #72,7506.02,1814.73
Classe D #73,5468.67,2220.98
Classe D #74,5923.04,1654.04
Classe D #75,3505.80,1575.81
Classe D #76,4280.79,1760.34
Classe D #77,6047.37,1923.64
Classe D #78,3950.72,2060.97
Classe D #79,8787.68,1799.82
Classe D #80,5545.80,1719.00
Classe D #81,6020.75,1592.88
Classe D #82,4556.35,2331.25
Classe D #83,5666.63,2008.58
Classe D #84,3588.50,1550.00
Classe D #85,4954.49,2092.76
Classe D #86,6177.06,2025.47
Classe D #87,4006.32,1550.00
Classe D #88,3976.14,2001.09
Classe D #89,5610.68,1669.36
Classe D #90,4618.26,2303.00
Classe D #91,7861.13,1832.43
Classe D #92,6033.43,1550.00
Classe D #93,6408.10,1673.13
Classe D #94,4337.80,2093.77
Classe D #95,4811.92,1745.78
Classe D #96,7572.25,1661.68
Classe D #97,5727.06,1550.00
Classe D #98,5481.05,1637.41
Classe D #99,5567.25,2099.43
Classe D #100,6046.97,2383.34
Classe D #101,4359.12,2360.35
Classe D #102,4707.13,1550.00
Classe D #103,3071.45,1626.60
Classe D #104,6151.66,2416.11
Classe D #105,1746.41,1647.20
Classe D #106,2554.51,2866.11
Classe D #107,5304.03,2199.01
Classe D #108,6358.12,1550.00
Classe D #109,5579.51,1550.00
Classe D #110,3801.87,1933.12
Classe D #111,1919.75,1550.00
Classe D #112,3563.01,1550.00
Classe D #113,4074.23,1550.00
Classe D #114,5026.35,2223.62
Classe D #115,5946.98,1664.18
Classe D #116,5670.30,1550.00
Classe D #117,3864.66,2098.45
Classe D #118,5661.03,1550.00
Classe D #119,7472.61,2129.86
Classe D #120,5624.45,1798.21
Classe D #121,3261.11,1711.90
Classe D #122,5954.22,1550.00
Classe D #123,3938.32,1550.00
Classe D #124,4867.88,1980.45
Classe D #125,4788.50,2308.84
Classe D #126,5679.03,2021.04
Classe D #127,3829.70,1715.12
Classe D #128,3230.11,1718.33
Classe D #129,2259.35,2047.53
Classe D #130,5038.50,1935.60
Classe D #131,2588.46,2227.92
Classe D #132,7693.06,2114.61
Classe D #133,6155.75,1571.83
Classe D #134,3685.01,1561.04
Classe D #135,5944.10,2127.07
Classe D #136,3344.78,1850.36
Classe D #137,6506.34,1581.38
Classe D #138,6054.37,1988.12
Classe D #139,5633.65,1797.59
Classe D #140,6447.63,1550.00
Classe D #141,7158.48,1907.92
Classe D #142,2957.15,1550.00
Classe D #143,3447.70,1550.00
Classe D #144,3560.26,2244.20
Classe D #145,5320.89,2035.41
Classe D #146,3311.82,1610.44
Classe D #147,6369.04,1550.00
Classe D #148,6122.98,2054.91
Classe D #149,6763.16,2061.18
Classe D #150,3282.43,2335.25
Classe D #151,4286.65,1550.00
Classe D #152,7001.06,1550.00
Classe D #153,6622.86,2283.12
Classe D #154,4587.86,1550.00
Classe D #155,5287.08,1999.67
Classe D #156,4800.43,1550.00
Classe D #157,5496.64,2781.53
Classe D #158,6805.42,1550.00
Classe D #159,3977.58,2023.45
Classe D #160,5697.79,1952.46
Classe D #161,3573.75,1550.00
Classe D #162,7161.88,1926.71
Classe D #163,5346.35,2197.90
Classe D #164,3473.96,1558.05
Classe D #165,3466.22,1550.00
Classe D #166,5392.28,1690.95
Classe D #167,7006.67,1882.16
Classe D #168,4418.10,1550.00
Classe D #169,5753.15,2871.28
Classe D #170,2339.38,2350.82
Classe D #171,5004.08,2149.68
Classe D #172,3791.77,2320.08
Classe D #173,4213.02,1784.13
Classe D #174,6321.76,2233.40
Classe D #175,4570.69,1781.47
Classe D #176,5591.90,2467.66
Classe D #177,4302.94,2086.28
Classe D #178,6260.77,1550.00
Classe D #179,3962.78,1550.00
Classe D #180,3937.90,1726.84
Classe D #181,4181.62,1550.00
Classe D #182,4370.18,1550.00
Classe D #183,3439.17,1693.75
Classe D #184,3070.33,2727.16
Classe D #185,1573.70,1550.00
Classe D #186,6471.56,1879.09
Classe D #187,2845.26,2400.13
Classe D #188,5369.03,2506.00
Classe D #189,6374.66,1550.00
Classe D #190,4433.82,2519.25
Classe D #191,4715.17,1619.11
Classe D #192,6340.78,2014.07
Classe D #193,6713.90,1605.34
Classe D #194,6074.48,1550.00
Classe D #195,4936.00,2123.92
Classe D #196,3283.02,1934.52
Classe D #197,6326.32,2213.42
Classe D #198,4652.86,2082.93
Classe D #199,6086.53,1988.72
Classe D #200,5370.07,1998.99
Classe E #1,1909.78,1550.00
Classe E #2,1926.40,1550.00
Classe E #3,1608.16,1550.00
Classe E #4,1902.90,1550.00
Classe E #5,340.83,1550.00
Classe E #6,1964.14,1882.80
Classe E #7,1123.84,1550.00
Classe E #8,634.62,1550.00
Classe E #9,1113.35,1550.00
Classe E #10,1935.92,1838.43
Classe E #11,947.81,1952.50
Classe E #12,1126.53,1550.00
Classe E #13,1297.37,1550.00
Classe E #14,1825.20,1667.58
Classe E #15,1494.51,1550.00
Classe E #16,1101.83,1550.00
Classe E #17,2262.07,1550.00
Classe E #18,1239.13,2140.29
Classe E #19,1597.41,1810.40
Classe E #20,1566.30,1550.00
Classe E #21,2003.73,1719.23
Classe E #22,1988.62,1550.00
Classe E #23,751.41,2054.87
Classe E #24,2116.67,1550.00
Classe E #25,1513.02,1550.00
Classe E #26,1931.64,1550.00
Classe E #27,2269.98,1550.00
Classe E #28,2005.26,1735.48
Classe E #29,1082.19,1550.00
Classe E #30,1079.63,1550.00
Classe E #31,1144.82,1550.00
Classe E #32,1164.75,1764.35
Classe E #33,1364.69,1550.00
Classe E #34,1754.85,1709.59
Classe E #35,1347.27,1550.00
Classe E #36,1491.31,1550.00
Classe E #37,1293.73,1873.17
Classe E #38,1865.79,1709.61
Classe E #39,1190.61,1751.36
Classe E #40,2038.89,1550.00
Classe E #41,1555.20,1550.00
Classe E #42,1219.67,1550.00
Classe E #43,1141.39,1590.47
Classe E #44,1223.02,1717.77
Classe E #45,1656.12,1550.00
Classe E #46,1467.61,1550.00
Classe E #47,870.11,1675.96
Classe E #48,1345.65,1616.49
Classe E #49,1060.24,1710.33
Classe E #50,1732.90,1550.00
Classe E #51,426.86,1550.00
Classe E #52,1598.55,1550.00
Classe E #53,1690.05,2012.68
Classe E #54,1244.54,1550.00
Classe E #55,2021.40,1786.80
Classe E #56,2022.86,1803.94
Classe E #57,958.82,1550.00
Classe E #58,952.82,1568.10
Classe E #59,1644.89,1678.04
Classe E #60,2068.21,1755.79
Classe E #61,1062.13,1750.26
Classe E #62,1328.35,1550.00
Classe E #63,2095.99,1720.36
Classe E #64,988.93,1550.00
Classe E #65,1763.24,1550.00
